taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
S,2597358,                    Sporosarcina sp. ANT_H38,24.0,30.0,50.0,,20.0,49.0,,17.0,,76.0,45.0,38.0,76.0,113.0,148.0,22.0,21.0,5.0,29.0,36.0,29.0,32.0,8.0,11.0,28.0,60.0,31.0,17.0,32.0,16.0,14.0,16.0,28.0,26.0,24.0,17.0,33.0,9.0,40.0,27.0,32.0,27.0,22.0
S,2597659,                  Gordonia zhaorongruii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
S,2597660,                  Tomitella fengzijianii,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2597701,                  Comamonas flocculans,29.0,29.0,115.0,87.0,166.0,84.0,286.0,353.0,150.0,251.0,418.0,219.0,791.0,712.0,509.0,8.0,11.0,14.0,96.0,95.0,59.0,174.0,141.0,81.0,262.0,140.0,50.0,43.0,30.0,112.0,187.0,127.0,283.0,251.0,331.0,202.0,290.0,455.0,314.0,102.0,124.0,214.0,341.0
S,2597769,                    Geobacter sp. FeAm09,6.0,12.0,18.0,37.0,23.0,24.0,44.0,37.0,13.0,46.0,29.0,64.0,56.0,50.0,103.0,,,10.0,9.0,10.0,20.0,14.0,13.0,14.0,42.0,10.0,30.0,30.0,28.0,39.0,30.0,14.0,13.0,19.0,17.0,14.0,17.0,47.0,30.0,25.0,14.0,14.0,25.0
S,2597771,                      Fischerella sp. JS2,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2598579,                    Limnoglobus roseus,525.0,517.0,448.0,196.0,189.0,235.0,321.0,332.0,219.0,296.0,269.0,268.0,459.0,371.0,358.0,456.0,530.0,402.0,248.0,191.0,172.0,317.0,266.0,206.0,342.0,349.0,329.0,282.0,277.0,349.0,239.0,225.0,236.0,262.0,263.0,289.0,317.0,304.0,289.0,300.0,316.0,321.0,329.0
S,2599293,                  Humibacter ginsenosidimutans,,13.0,16.0,13.0,24.0,40.0,,17.0,19.0,33.0,21.0,23.0,,81.0,102.0,,,,,,,,,,29.0,31.0,,,,15.0,11.0,,,,,,,,31.0,,27.0,9.0,12.0
S,2599296,                  Qingshengfaniella alkalisoli,,6.0,,,,,,,,6.0,9.0,,18.0,,,5.0,,,,11.0,,5.0,5.0,,,,,,,5.0,5.0,,,,,,,5.0,,6.0,,,
S,2599297,                  Sphingomonas suaedae,43.0,50.0,57.0,34.0,33.0,35.0,39.0,41.0,53.0,47.0,37.0,32.0,7.0,7.0,,54.0,67.0,47.0,42.0,44.0,53.0,76.0,92.0,36.0,39.0,38.0,74.0,57.0,64.0,51.0,68.0,66.0,46.0,76.0,56.0,35.0,46.0,48.0,52.0,69.0,61.0,84.0,41.0
S,2599401,                  Streptomyces qinzhouensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,
S,2599595,                  Pseudomonas eucalypticola,,,,14.0,,,26.0,,,,,,,,,,,,,,,11.0,12.0,,,,,,,,,,,,,13.0,,,,,,,
S,2599600,                  Nitratireductor mangrovi,13.0,11.0,19.0,,33.0,14.0,31.0,17.0,20.0,23.0,42.0,17.0,114.0,58.0,45.0,10.0,23.0,5.0,17.0,14.0,9.0,25.0,21.0,6.0,16.0,29.0,38.0,5.0,24.0,15.0,18.0,28.0,7.0,18.0,37.0,30.0,8.0,29.0,8.0,23.0,11.0,12.0,31.0
O,2599632,            Vulcanimicrobiales,3.0,2.0,3.0,6.0,,5.0,3.0,,5.0,8.0,5.0,19.0,6.0,10.0,11.0,2.0,,,2.0,6.0,2.0,4.0,5.0,2.0,,10.0,2.0,,3.0,2.0,7.0,2.0,4.0,2.0,2.0,6.0,11.0,7.0,11.0,6.0,8.0,7.0,13.0
S,2599640,                    Bosea sp. F3-2,69.0,127.0,89.0,26.0,60.0,29.0,,34.0,36.0,22.0,25.0,101.0,67.0,108.0,,128.0,105.0,91.0,11.0,21.0,37.0,11.0,34.0,,12.0,17.0,31.0,280.0,263.0,165.0,42.0,22.0,38.0,,16.0,17.0,25.0,24.0,52.0,21.0,17.0,27.0,39.0
S,2600159,                    Arthrobacter sp. UKPF54-2,829.0,886.0,858.0,281.0,124.0,74.0,311.0,121.0,54.0,64.0,47.0,88.0,985.0,604.0,540.0,892.0,933.0,810.0,131.0,124.0,31.0,103.0,40.0,,44.0,45.0,56.0,1987.0,2373.0,1739.0,249.0,63.0,71.0,98.0,81.0,70.0,62.0,146.0,51.0,205.0,164.0,297.0,257.0
S,2600177,                Microvenator marinus,,,,,,,,3.0,,,,,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
F,2600303,              Baekduiaceae,1046.0,1080.0,1326.0,1380.0,1244.0,1640.0,2799.0,2362.0,1864.0,2016.0,1981.0,2170.0,6625.0,5380.0,5512.0,1105.0,778.0,1190.0,1289.0,1244.0,1402.0,2729.0,2010.0,1763.0,1500.0,1539.0,2011.0,2343.0,2236.0,2691.0,2272.0,1417.0,1870.0,3572.0,3186.0,2809.0,2999.0,2828.0,2828.0,1876.0,1671.0,2385.0,2767.0
G,2600304,                Baekduia,553.0,536.0,536.0,803.0,706.0,1064.0,1385.0,1038.0,820.0,1368.0,1170.0,1231.0,3325.0,2520.0,2660.0,460.0,290.0,503.0,619.0,566.0,791.0,974.0,567.0,586.0,831.0,859.0,1084.0,1010.0,768.0,1046.0,1119.0,681.0,950.0,1607.0,1149.0,1036.0,1558.0,1562.0,1443.0,958.0,754.0,865.0,1332.0
S,2600596,                    Sideroxydans sp. CL21,6.0,17.0,19.0,103.0,21.0,48.0,54.0,29.0,12.0,38.0,51.0,54.0,134.0,32.0,100.0,7.0,,,21.0,17.0,,26.0,11.0,34.0,11.0,14.0,14.0,20.0,43.0,31.0,31.0,6.0,53.0,38.0,16.0,24.0,54.0,51.0,61.0,25.0,18.0,34.0,114.0
S,2600598,                  Pseudomonas saxonica,68.0,45.0,43.0,93.0,108.0,261.0,153.0,,,,178.0,175.0,,,,,18.0,15.0,,139.0,,78.0,,81.0,206.0,,,26.0,9.0,12.0,90.0,55.0,,,,,95.0,,,98.0,111.0,,
S,2601122,                    Acinetobacter sp. YH12138,274.0,280.0,1030.0,,,,,,,,,,,,,1320.0,1398.0,1208.0,,,,,,,,,,3212.0,2740.0,3173.0,,,,,,,,,,,,,
S,2601677,                  Tepidiforma bonchosmolovskayae,20.0,43.0,24.0,26.0,20.0,30.0,38.0,35.0,16.0,20.0,15.0,26.0,43.0,48.0,29.0,12.0,11.0,10.0,8.0,10.0,,18.0,6.0,,10.0,15.0,4.0,21.0,19.0,30.0,24.0,17.0,31.0,33.0,18.0,12.0,43.0,26.0,51.0,15.0,,5.0,32.0
S,2601898,                    Noviherbaspirillum sp. UKPF54,24.0,32.0,18.0,25.0,15.0,73.0,73.0,42.0,32.0,79.0,47.0,63.0,74.0,91.0,85.0,12.0,13.0,,24.0,34.0,14.0,41.0,26.0,53.0,31.0,53.0,31.0,15.0,17.0,38.0,76.0,30.0,69.0,40.0,33.0,26.0,79.0,73.0,65.0,23.0,36.0,59.0,89.0
S,2602015,                  Hypericibacter terrae,153.0,175.0,182.0,80.0,136.0,111.0,163.0,153.0,133.0,165.0,151.0,123.0,329.0,249.0,247.0,57.0,23.0,39.0,70.0,55.0,29.0,67.0,66.0,46.0,76.0,73.0,44.0,167.0,120.0,272.0,144.0,72.0,67.0,160.0,192.0,127.0,131.0,172.0,138.0,63.0,97.0,60.0,200.0
S,2602016,                  Hypericibacter adhaerens,143.0,265.0,262.0,176.0,150.0,227.0,333.0,243.0,155.0,339.0,340.0,294.0,844.0,432.0,643.0,62.0,61.0,56.0,80.0,86.0,49.0,112.0,80.0,29.0,120.0,138.0,113.0,220.0,207.0,211.0,172.0,72.0,141.0,180.0,165.0,161.0,236.0,208.0,309.0,43.0,179.0,78.0,211.0
S,2602067,                    Octadecabacter sp. SW4,80.0,,105.0,51.0,,,,,,,,,,,,116.0,90.0,70.0,93.0,74.0,,49.0,,,,,103.0,,65.0,70.0,66.0,67.0,89.0,,,73.0,,93.0,,,101.0,47.0,49.0
S,2602070,                    Granulicella sp. WH15,20.0,,,19.0,44.0,38.0,45.0,93.0,52.0,49.0,45.0,67.0,50.0,65.0,35.0,,,,48.0,,27.0,80.0,81.0,,19.0,38.0,29.0,30.0,19.0,,28.0,23.0,29.0,29.0,48.0,79.0,23.0,30.0,44.0,26.0,51.0,,26.0
S,2602769,                      Flavobacterium alkalisoli,,,,,,,,,,,,,,,,,,,6.0,14.0,,,,,,,,13.0,12.0,9.0,,10.0,,,,,,,,,,3.0,
S,2603206,                  Ruania zhangjianzhongii,,4.0,,,,,7.0,,,,,,19.0,,,,,,,,,,9.0,,,,,4.0,,3.0,,8.0,,5.0,,,,,,,5.0,4.0,8.0
S,2603215,                  Marinobacter fonticola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,
S,2603276,                    Methylobacterium sp. WL1,21.0,17.0,14.0,46.0,77.0,36.0,44.0,,15.0,22.0,21.0,42.0,90.0,84.0,,24.0,8.0,21.0,18.0,50.0,45.0,64.0,52.0,32.0,44.0,93.0,52.0,6.0,9.0,5.0,18.0,55.0,39.0,30.0,16.0,31.0,27.0,22.0,44.0,56.0,56.0,52.0,54.0
S,2603277,                      Rhizobium sp. WL3,,15.0,16.0,36.0,,,,,,,,,,37.0,,,13.0,13.0,,,,,,14.0,,,,18.0,26.0,23.0,,13.0,,,,,21.0,,,,17.0,12.0,
S,2603292,                    Salinibacterium sp. dk2585,,5.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,2603324,                Acidibrevibacterium,16.0,36.0,35.0,20.0,23.0,23.0,16.0,26.0,25.0,23.0,,23.0,34.0,32.0,91.0,13.0,15.0,10.0,10.0,19.0,12.0,18.0,11.0,24.0,,12.0,16.0,21.0,24.0,14.0,7.0,18.0,14.0,14.0,31.0,10.0,29.0,44.0,8.0,31.0,16.0,,35.0
S,2604047,                  Paraburkholderia dioscoreae,,,,,,,,20.0,,,,57.0,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,24.0
S,2604158,                  Nitratidesulfovibrio liaohensis,,,,,38.0,7.0,,,,,24.0,,18.0,,,,,,,,,13.0,,6.0,22.0,10.0,33.0,,,,6.0,,,,,,,,,,,,
S,2604421,                        Chitinophaga sp. XS-30,12.0,5.0,12.0,22.0,13.0,,36.0,14.0,22.0,20.0,24.0,10.0,,9.0,6.0,,6.0,14.0,20.0,36.0,17.0,26.0,6.0,19.0,28.0,47.0,11.0,,,9.0,41.0,43.0,33.0,37.0,53.0,44.0,37.0,30.0,53.0,12.0,20.0,43.0,22.0
S,2604537,                    Altererythrobacter sp. BO-6,2668.0,2279.0,1976.0,722.0,673.0,614.0,2409.0,2194.0,2843.0,2315.0,1714.0,1730.0,40.0,71.0,43.0,2306.0,2487.0,2391.0,1495.0,876.0,1158.0,2670.0,2376.0,2571.0,2008.0,2452.0,2537.0,663.0,643.0,591.0,968.0,1370.0,1338.0,1194.0,1113.0,1208.0,1180.0,978.0,995.0,2371.0,2315.0,1523.0,1020.0
S,2604832,                  Metapseudomonas lalkuanensis,22.0,34.0,71.0,43.0,74.0,66.0,102.0,66.0,54.0,72.0,172.0,180.0,256.0,202.0,354.0,7.0,12.0,,41.0,,29.0,79.0,21.0,,,16.0,29.0,33.0,28.0,57.0,77.0,17.0,52.0,45.0,69.0,67.0,41.0,83.0,89.0,29.0,48.0,14.0,100.0
S,2605424,                    Pseudomonas sp. J380,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,
S,2605747,                      Pedobacter aquae,64.0,69.0,104.0,49.0,136.0,135.0,50.0,150.0,99.0,179.0,133.0,119.0,17.0,20.0,12.0,52.0,35.0,56.0,80.0,188.0,258.0,148.0,93.0,107.0,138.0,99.0,110.0,17.0,13.0,11.0,18.0,56.0,33.0,32.0,53.0,56.0,35.0,61.0,69.0,131.0,72.0,26.0,25.0
G,2605940,                Hwanghaeella,,4.0,,2.0,,,3.0,3.0,,,,10.0,9.0,7.0,5.0,2.0,,,2.0,,,,,,4.0,5.0,4.0,,,3.0,3.0,,,2.0,,,2.0,,4.0,6.0,,,
S,2605943,                    Hwanghaeella sp.,,4.0,,2.0,,,3.0,3.0,,,,10.0,9.0,7.0,5.0,2.0,,,2.0,,,,,,4.0,5.0,4.0,,,3.0,3.0,,,2.0,,,2.0,,4.0,6.0,,,
G1,2605944,                  unclassified Hwanghaeella,,4.0,,2.0,,,3.0,3.0,,,,10.0,9.0,7.0,5.0,2.0,,,2.0,,,,,,4.0,5.0,4.0,,,3.0,3.0,,,2.0,,,2.0,,4.0,6.0,,,
S,2605945,                  Chromobacterium paludis,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,97.0,,,24.0,,,64.0,,,,,66.0,34.0,
S,2605946,                  Pukyongiella litopenaei,165.0,464.0,136.0,66.0,,163.0,146.0,247.0,173.0,149.0,143.0,186.0,104.0,301.0,83.0,243.0,236.0,328.0,123.0,190.0,58.0,421.0,64.0,193.0,194.0,132.0,135.0,143.0,202.0,182.0,88.0,,90.0,224.0,193.0,131.0,158.0,155.0,135.0,236.0,270.0,221.0,164.0
S,2605989,                    Gimesia chilikensis,4.0,4.0,,6.0,7.0,5.0,13.0,,4.0,7.0,,,14.0,11.0,,9.0,,10.0,8.0,14.0,,7.0,,5.0,14.0,7.0,5.0,10.0,,,,,9.0,,,,7.0,,5.0,5.0,10.0,,
S,2606626,                      Sodaliphilus pleomorphus,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2606717,                  Antarcticirhabdus aurantiaca,13.0,16.0,10.0,15.0,19.0,13.0,69.0,,29.0,21.0,25.0,49.0,53.0,87.0,114.0,9.0,9.0,,,,20.0,15.0,24.0,18.0,11.0,12.0,12.0,15.0,7.0,17.0,12.0,18.0,,17.0,22.0,11.0,17.0,12.0,13.0,,12.0,14.0,30.0
S,2607656,                      Hymenobacter busanensis,,,,,,,13.0,,,,,,8.0,10.0,10.0,,,,,,,,,,,,,,,3.0,,,3.0,4.0,,,,,5.0,,,,
S,2608089,                        Ekhidna sp.,24.0,21.0,26.0,,,65.0,21.0,,,13.0,,,10.0,,,,,,,23.0,38.0,37.0,25.0,24.0,18.0,,,,,,,23.0,,,11.0,,14.0,12.0,,,,15.0,
S,2608253,                        Nonlabens sp. Ci31,,,,,,,,,,,,,,,,,,5.0,,,14.0,,9.0,,,,,,,,,4.0,,,5.0,,8.0,,,,,,
S,2608402,                  Cellulomonas palmilytica,17.0,,,30.0,43.0,,,,,,,44.0,,,,,,,,,19.0,46.0,,,,22.0,,15.0,12.0,27.0,,,47.0,18.0,,,,,,,,,
G,2608728,                Acidisarcina,,112.0,39.0,82.0,74.0,96.0,173.0,130.0,45.0,141.0,47.0,96.0,142.0,64.0,91.0,,,32.0,55.0,32.0,49.0,110.0,35.0,64.0,51.0,99.0,,60.0,,33.0,64.0,66.0,65.0,111.0,,79.0,78.0,65.0,46.0,,71.0,,90.0
G1,2608887,                  unclassified Streptococcus,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,2608891,                  unclassified Enterococcus,,,,,,,,,,,,,,,,,,9.0,,,,9.0,,14.0,,,,,,10.0,,,,28.0,60.0,11.0,,,14.0,9.0,,,
G1,2608897,                  unclassified Bifidobacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
G1,2608915,                    unclassified Akkermansia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,
G1,2608920,                  unclassified Ruminococcus,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,2608932,                      unclassified Alistipes,,,,68.0,,,,,,,,71.0,,,,,,,,,,,64.0,147.0,,,,4.0,44.0,,,,,,,,,54.0,64.0,,,,15.0
G1,2608935,                  unclassified Enterobacter,,,,,21.0,,,933.0,,,,,,,,,,,,,,,144.0,,,,,,,,15.0,,,,,,,,,,,,
G1,2608980,                  unclassified Methylomonas,23.0,55.0,23.0,36.0,53.0,72.0,247.0,156.0,101.0,107.0,181.0,161.0,1360.0,1677.0,1586.0,15.0,39.0,29.0,42.0,118.0,80.0,104.0,48.0,74.0,107.0,115.0,92.0,67.0,110.0,87.0,238.0,180.0,243.0,291.0,279.0,178.0,264.0,315.0,254.0,57.0,77.0,191.0,332.0
S,2608981,                  Methylomonas rhizoryzae,,,,33.0,,,,49.0,,,,,151.0,,100.0,,,,,,,,,,,40.0,,,,,,,,,46.0,58.0,,,66.0,32.0,,,
S,2608982,                    Gimesia benthica,29.0,38.0,39.0,40.0,43.0,30.0,15.0,24.0,27.0,38.0,27.0,31.0,49.0,66.0,23.0,23.0,19.0,18.0,26.0,29.0,37.0,28.0,22.0,24.0,22.0,33.0,23.0,,11.0,,25.0,18.0,16.0,18.0,30.0,15.0,18.0,19.0,21.0,35.0,27.0,19.0,
S,2608999,                  Cupriavidus cauae,101.0,68.0,,122.0,89.0,,252.0,225.0,,142.0,150.0,,534.0,360.0,385.0,,,,70.0,69.0,98.0,74.0,75.0,,124.0,84.0,84.0,30.0,58.0,77.0,,,,91.0,,139.0,,300.0,103.0,,116.0,112.0,91.0
G1,2609248,                  unclassified Actinomyces,,,,17.0,,,,,,,,33.0,,191.0,,6.0,,11.0,,,,,,,,,21.0,12.0,15.0,,,,,,,,,,,,,,
G1,2609250,                  unclassified Rathayibacter,,,8.0,,,,,23.0,,,,,20.0,,,,,,,,,,,,,,,11.0,,11.0,,,,17.0,,,,,,,,6.0,
S,2609252,                    Rathayibacter sp. VKM Ac-2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,
S,2609253,                    Rathayibacter sp. VKM Ac-2760,,,,,,,,23.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2609255,                    Rathayibacter sp. VKM Ac-2801,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,6.0,
S,2609257,                    Rathayibacter sp. VKM Ac-2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,
G1,2609265,                  unclassified Nitrosomonas,548.0,767.0,347.0,215.0,273.0,444.0,316.0,174.0,230.0,930.0,223.0,219.0,2526.0,1800.0,2401.0,318.0,404.0,208.0,204.0,176.0,246.0,220.0,173.0,280.0,218.0,252.0,150.0,556.0,824.0,695.0,802.0,275.0,433.0,329.0,695.0,249.0,389.0,740.0,639.0,269.0,243.0,502.0,612.0
G1,2609267,                  unclassified Nitrosospira,85.0,54.0,81.0,34.0,53.0,49.0,49.0,82.0,45.0,61.0,55.0,83.0,61.0,63.0,43.0,38.0,35.0,23.0,20.0,72.0,28.0,20.0,72.0,23.0,19.0,152.0,67.0,24.0,20.0,31.0,32.0,32.0,10.0,47.0,54.0,65.0,56.0,53.0,31.0,40.0,143.0,20.0,45.0
G1,2609269,                  unclassified Azospira,,100.0,,,,,818.0,,172.0,232.0,,375.0,,358.0,1002.0,,,,,,98.0,231.0,236.0,221.0,,,,,211.0,,,,,237.0,,,328.0,213.0,,,,,319.0
G1,2609272,                  unclassified Denitratisoma,492.0,854.0,305.0,946.0,1077.0,1238.0,1673.0,1296.0,901.0,730.0,2098.0,1265.0,2560.0,1763.0,2559.0,95.0,49.0,,546.0,201.0,265.0,370.0,158.0,303.0,398.0,734.0,566.0,532.0,467.0,561.0,1263.0,146.0,527.0,684.0,870.0,783.0,1237.0,630.0,839.0,250.0,557.0,400.0,930.0
G1,2609274,                  unclassified Thauera,17079.0,29990.0,23598.0,36996.0,42566.0,40726.0,81089.0,52859.0,33778.0,58036.0,60156.0,58414.0,168406.0,130647.0,146274.0,6647.0,3786.0,6991.0,24781.0,19324.0,15319.0,31857.0,23396.0,19740.0,30477.0,31989.0,31806.0,17367.0,16183.0,25184.0,46281.0,25112.0,34673.0,39755.0,41948.0,39664.0,53966.0,53570.0,57966.0,22603.0,30588.0,28807.0,52365.0
G1,2609279,                    unclassified Massilia,344.0,368.0,774.0,2185.0,1627.0,1607.0,1380.0,918.0,1099.0,1060.0,778.0,1334.0,6948.0,5628.0,4487.0,377.0,897.0,2963.0,5955.0,6077.0,5127.0,4468.0,2707.0,2650.0,1127.0,1389.0,1756.0,1340.0,4427.0,9204.0,37647.0,41689.0,36401.0,25597.0,19948.0,14671.0,10872.0,11549.0,8879.0,2914.0,1924.0,36875.0,21494.0
G1,2609290,                  unclassified Microbacterium,1594.0,1894.0,1735.0,1508.0,944.0,1275.0,1447.0,1489.0,1175.0,1103.0,1011.0,981.0,942.0,872.0,885.0,2328.0,1807.0,2302.0,1367.0,1114.0,1284.0,1407.0,1305.0,1012.0,1105.0,1180.0,1141.0,4631.0,5040.0,4747.0,1805.0,1743.0,1673.0,1751.0,1674.0,1595.0,1428.0,1306.0,1595.0,1241.0,1394.0,1866.0,1847.0
G1,2609414,                  unclassified Cobetia,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2609415,                    Cobetia sp. cqz5-12,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,2609468,                      unclassified Sphingobacterium,855.0,1000.0,956.0,1190.0,1683.0,3095.0,2560.0,5620.0,3578.0,11434.0,9125.0,8489.0,9.0,177.0,,1155.0,1465.0,508.0,438.0,895.0,1894.0,1760.0,943.0,1915.0,972.0,2990.0,2859.0,595.0,626.0,211.0,183.0,91.0,206.0,394.0,50.0,40.0,,567.0,,895.0,902.0,221.0,115.0
G1,2609473,                    unclassified Roseiflexus,,22.0,15.0,47.0,26.0,55.0,106.0,48.0,30.0,71.0,41.0,61.0,105.0,161.0,136.0,,,,31.0,54.0,37.0,38.0,24.0,31.0,48.0,42.0,38.0,25.0,31.0,50.0,39.0,41.0,52.0,57.0,90.0,63.0,77.0,84.0,97.0,34.0,29.0,80.0,64.0
G1,2609666,                  unclassified Halomonas,78.0,93.0,135.0,336.0,339.0,396.0,460.0,559.0,605.0,822.0,670.0,666.0,913.0,829.0,638.0,100.0,90.0,94.0,262.0,269.0,322.0,540.0,427.0,438.0,391.0,450.0,312.0,102.0,99.0,118.0,442.0,271.0,375.0,482.0,341.0,391.0,567.0,527.0,614.0,214.0,301.0,358.0,268.0
S,2609667,                  Vreelandella piezotolerans,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,
S,2609668,                  Acinetobacter suaedae,13.0,,,,,,,,,,,,,,,72.0,63.0,36.0,,,,,,,,,,131.0,142.0,143.0,,,,,,,,,,,,,
S,2609807,                    Streptomyces sp. LBUM 1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0,,,,,,,,,
G1,2610881,                  unclassified Janthinobacterium,969.0,80.0,1320.0,136.0,159.0,147.0,163.0,176.0,179.0,228.0,92.0,130.0,634.0,443.0,397.0,533.0,28.0,577.0,38.0,73.0,200.0,121.0,113.0,127.0,199.0,116.0,66.0,1915.0,2277.0,2242.0,1480.0,929.0,630.0,636.0,557.0,339.0,405.0,301.0,163.0,150.0,132.0,1346.0,566.0
G1,2610897,                  unclassified Hydrogenophaga,8461.0,15361.0,16737.0,15471.0,16228.0,15622.0,42002.0,30291.0,26873.0,31328.0,29901.0,30884.0,118927.0,81583.0,103339.0,6971.0,10127.0,14543.0,14948.0,10702.0,10362.0,23045.0,15162.0,15935.0,14870.0,16099.0,11235.0,14642.0,22536.0,34253.0,39273.0,23094.0,29240.0,32919.0,32520.0,24342.0,29193.0,25845.0,27042.0,18048.0,21007.0,36117.0,44579.0
G1,2611147,                  unclassified Sphingobium,406880.0,366188.0,382923.0,777338.0,683763.0,747377.0,500941.0,487821.0,519271.0,395014.0,340819.0,323360.0,63406.0,53133.0,56537.0,481446.0,493072.0,492369.0,815945.0,761957.0,910447.0,851566.0,736554.0,759822.0,642432.0,692769.0,714677.0,200863.0,231066.0,228398.0,519645.0,655711.0,621321.0,613511.0,568061.0,566026.0,524991.0,506595.0,501355.0,789300.0,774106.0,726348.0,580519.0
G1,2613769,                    unclassified Rhizobium,602.0,607.0,498.0,144.0,121.0,108.0,157.0,421.0,70.0,144.0,625.0,103.0,816.0,1728.0,1022.0,462.0,642.0,362.0,299.0,291.0,240.0,143.0,108.0,103.0,59.0,88.0,112.0,1306.0,1078.0,906.0,967.0,458.0,175.0,166.0,126.0,136.0,107.0,458.0,347.0,109.0,135.0,519.0,524.0
S,2613770,                      Rhizobium sp. BG4,,,,39.0,,17.0,,,,44.0,,,,,63.0,,,,,,,20.0,,,,29.0,,,,13.0,,,30.0,27.0,,24.0,,,,13.0,,,32.0
S,2613771,                      Rhizobium sp. BG6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,,,,,,,,,,,,
G1,2613772,                    unclassified Sinorhizobium,720.0,1207.0,411.0,37.0,29.0,,842.0,38.0,15.0,19.0,51.0,49.0,2347.0,88.0,1470.0,1786.0,836.0,1376.0,445.0,671.0,354.0,410.0,651.0,,,41.0,729.0,3259.0,4080.0,4204.0,479.0,367.0,491.0,593.0,369.0,41.0,34.0,671.0,52.0,1186.0,438.0,480.0,919.0
